parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT2383,"주의사항표기서(전용)_화이트+디지털풀컬러_100-3",0,92,-92,-92,1
PT2395,"AA건전지(파워랜드)",800,800,0,928,2
PT2401,"PT2401",917,866,51,51,9
PT2403,"PT2403",762,711,51,51,7
PT2437,"PT2437",0,9,-9,-9,1
PT2443,"PT2443",130,495,-365,-365,3
PT2481,"PT2481",566,417,149,149,7
PT2484,"PT2484",131,131,0,0,2
PT2487,"PT2487",203,0,203,203,1
PT2502,"PT2502",462,0,462,462,1
PT2503,"PT2503",530,0,530,530,1
PT2508,"PT2508",153,153,0,0,2
PT2511,"PT2511",2412,441,1971,1971,15
PT2513,"PT2513",202,101,101,101,3
PT2514,"PT2514",165,165,0,0,2
PT2527,"PT2527",6084,1384,4700,4700,10
PT2534,"PT2534",441,441,0,0,4
PT2541,"PT2541",359,104,255,255,6
PT2543,"PT2543",1313,1513,-200,-200,6
PT2544,"PT2544",1192,939,253,253,10
PT2554,"PT2554",1147,1014,133,133,5
PT2559,"PT2559",208,0,208,208,1
PT2561,"PT2561",3,0,3,3,3
PT2564,"PT2564",232,0,232,232,1
PT2569,"PT2569",830,230,600,600,4
PT2580,"PT2580",132,129,3,3,2
PT2590,"PT2590",330,540,-210,-210,4
PT2591,"PT2591",513,302,211,211,5
PT2593,"PT2593",802,0,802,802,1
PT2601,"PT2601",303,202,101,101,5
PT2613,"PT2613",0,1453,-1453,-1453,1
PT2671,"PT2671",1080,0,1080,1080,1
PT2687,"PT2687",252,201,51,51,3
PT2692,"PT2692",663,0,663,663,3
PT2703,"PT2703",703,201,502,502,3
PT2710,"PT2710",170,170,0,0,2
PT2713,"PT2713",304,202,102,102,3
PT2741,"PT2741",2594,304,2290,2290,2
PT2783,"PT2783",2544,2544,0,0,4
PT2788,"PT2788",882,882,0,0,8
PT2792,"PT2792",2014,2014,0,0,4
PT2802,"PT2802",0,808,-808,-808,1
PT2805,"씬페이퍼봉투_화이트",0,204,-204,-204,1
PT2811,"PT2811",0,208,-208,-208,1
PT2812,"골지트레이박스_블랙",0,585,-585,-585,1
PT2817,"PT2817",0,720,-720,-720,2
PT2820,"단품박스(전용)(무충마패.스탠다드)_화이트",0,101,-101,-101,1
PT2821,"단품박스(전용)(무충마패.와이드.스플릿.맥스)_화이트",0,339,-339,-339,1
PT2822,"레디고런치박스_본품",0,3526,-3526,-3526,1
PT2823,"레디고런치박스_투명캡",0,105,-105,-105,1
PT2824,"PT2824",3020,4136,-1116,-1116,4
PT2825,"주의사항표기서(전용)",0,105,-105,-105,1
PT2827,"투명손잡이지퍼백(S)",0,1797,-1797,-1797,1
PT2828,"PT2828",300,9098,-8798,-8798,4
PT2832,"PT2832",0,1281,-1281,-1281,2
PT2833,"PT2833",0,686,-686,-686,2
PT2834,"PT2834",400,1908,-1508,-1508,6
PT2836,"PT2836",0,6704,-6704,-6704,4
PT2837,"PT2837",0,553,-553,-553,3
PT2846,"PT2846",0,105,-105,-105,1
PT2847,"PT2847",2050,7153,-5103,-5103,6
PT2850,"PT2850",0,871,-871,-871,3
PT2852,"PT2852",0,1509,-1509,-1509,2
PT2853,"PT2853",0,516,-516,-516,1
PT2854,"PT2854",40,40,0,0,4
PT2856,"PT2856",40,20,20,20,3
PT2857,"PT2857",375,345,30,30,15
PT2858,"PT2858",220,200,20,20,15
PT2859,"PT2859",50,50,0,0,2
PT2900,"PT2900",2353,804,1549,1549,8
PT2906,"종이충전재(스타핑)_화이트",0,718,-718,-718,1
PT2918,"PT2918",940,940,0,0,6
PT2938,"PT2938",604,603,1,1,4
PT2939,"PT2939",0,5848,-5848,-5848,5
PT2960,"PT2960",135,0,135,135,1
PT2962,"PT2962",0,54,-54,-54,1
PT2974,"PT2974",0,5367,-5367,-5367,3
PT2979,"PT2979",249,102,147,147,4
PT2986,"PT2986",388,2118,-1730,-1730,3
PT2995,"PT2995",32,1147,-1115,-1115,2
PT3072,"PT3072",2600,5684,-3084,-3084,8
PT3073,"PT3073",160,15767,-15607,-15607,10
PT3074,"PT3074",0,779,-779,-779,1
PT3089,"PT3089",160,160,0,0,2
PT3111,"PT3111",402,0,402,402,2
PT3138,"PT3138",1390,1120,270,270,3
PT3139,"PT3139",1211,1009,202,202,3
PT3145,"PT3145",105,105,0,0,2
